class_val,ppa_gpe,proportion_of_landscape,total_area,park,var,year
2,PPA,27.54957507082153,315.09,BocockPeakPark,fragstats,2015
3,PPA,0.5036197670758578,5.76,BocockPeakPark,fragstats,2015
1,PPA,97.49718785151856,312.03,BodegaRidgePark,fragstats,2015
2,PPA,2.4465691788526436,7.83,BodegaRidgePark,fragstats,2015
3,PPA,0.0562429696287964,0.18,BodegaRidgePark,fragstats,2015
1,PPA,79.40753698140472,9396.81,BonapartePark,fragstats,2015
2,PPA,12.634140776514432,1495.08,BonapartePark,fragstats,2015
3,PPA,7.958322242080846,941.76,BonapartePark,fragstats,2015
1,PPA,1.8907563025210083,0.81,BoothmanSOxbowPark,fragstats,2015
2,PPA,93.90756302521008,40.23,BoothmanSOxbowPark,fragstats,2015
3,PPA,4.201680672268908,1.8,BoothmanSOxbowPark,fragstats,2015
1,PPA,81.48679995581575,663.93,BorderLakePark,fragstats,2015
2,PPA,11.311167568761736,92.16,BorderLakePark,fragstats,2015
3,PPA,7.202032475422512,58.68,BorderLakePark,fragstats,2015
1,PPA,100.0,52.65,BoulderCreekPark,fragstats,2015
1,GPE,90.90128755364807,381.24,BowenIslandEcologicalReserve,fragstats,2015
1,PPA,98.65410497981158,395.82,BowenIslandEcologicalReserve,fragstats,2015
2,GPE,9.098712446351932,38.16,BowenIslandEcologicalReserve,fragstats,2015
2,PPA,1.3458950201884252,5.4,BowenIslandEcologicalReserve,fragstats,2015
1,GPE,96.70947030497592,108.45,BowserEcologicalReserve,fragstats,2015
1,PPA,99.52569169960475,113.31,BowserEcologicalReserve,fragstats,2015
2,GPE,3.290529695024077,3.69,BowserEcologicalReserve,fragstats,2015
2,PPA,0.4743083003952569,0.54,BowserEcologicalReserve,fragstats,2015
1,PPA,97.79904306220095,183.96,BoylePointPark,fragstats,2015
2,PPA,2.0574162679425836,3.87,BoylePointPark,fragstats,2015
3,PPA,0.14354066985645933,0.27,BoylePointPark,fragstats,2015
1,GPE,77.55102040816327,6.84,BoylePointProtectedArea,fragstats,2015
1,PPA,94.28571428571429,8.91,BoylePointProtectedArea,fragstats,2015
2,GPE,22.448979591836736,1.98,BoylePointProtectedArea,fragstats,2015
2,PPA,5.714285714285714,0.54,BoylePointProtectedArea,fragstats,2015
1,PPA,79.52616690240453,607.23,BrackendaleEaglesPark,fragstats,2015
2,PPA,17.7982083922678,135.9,BrackendaleEaglesPark,fragstats,2015
3,PPA,2.675624705327676,20.43,BrackendaleEaglesPark,fragstats,2015
1,PPA,87.01102226064404,362.34,BrandywineFallsPark,fragstats,2015
2,PPA,12.016425329587205,50.04,BrandywineFallsPark,fragstats,2015
3,PPA,0.9725524097687487,4.05,BrandywineFallsPark,fragstats,2015
1,PPA,93.98522687302146,4088.16,BrentMountainProtectedArea,fragstats,2015
2,PPA,5.8430406985164804,254.16,BrentMountainProtectedArea,fragstats,2015
3,PPA,0.17173242846206369,7.47,BrentMountainProtectedArea,fragstats,2015
1,GPE,75.51546391752578,26.37,BridalVeilFallsPark,fragstats,2015
1,PPA,95.01312335958005,32.58,BridalVeilFallsPark,fragstats,2015
2,GPE,24.484536082474225,8.55,BridalVeilFallsPark,fragstats,2015
2,PPA,4.986876640419948,1.71,BridalVeilFallsPark,fragstats,2015
1,PPA,82.28144989339019,347.31,BridgeLakePark,fragstats,2015
2,PPA,4.626865671641791,19.53,BridgeLakePark,fragstats,2015
3,PPA,13.091684434968018,55.26,BridgeLakePark,fragstats,2015
1,PPA,66.31865637766681,657.45,BridgeRiverDeltaPark,fragstats,2015
2,PPA,29.060372219700408,288.09,BridgeRiverDeltaPark,fragstats,2015
3,PPA,4.620971402632773,45.81,BridgeRiverDeltaPark,fragstats,2015
1,PPA,85.50519357884797,162.99,BrimRiverHotspringsProtectedArea,fragstats,2015
2,PPA,12.22851746931067,23.31,BrimRiverHotspringsProtectedArea,fragstats,2015
3,PPA,2.26628895184136,4.32,BrimRiverHotspringsProtectedArea,fragstats,2015
1,PPA,49.90969295605057,74.61,BromleyRockPark,fragstats,2015
2,PPA,46.116797110174595,68.94,BromleyRockPark,fragstats,2015
3,PPA,3.9735099337748343,5.94,BromleyRockPark,fragstats,2015
1,PPA,96.10675592354444,3927.96,BroughtonArchipelagoConservancy,fragstats,2015
2,PPA,2.1382013564696556,87.39,BroughtonArchipelagoConservancy,fragstats,2015
3,PPA,1.7550427199859069,71.73,BroughtonArchipelagoConservancy,fragstats,2015
1,PPA,94.05705229793978,106.83,BrowneLakeEcologicalReserve,fragstats,2015
2,PPA,4.91283676703645,5.58,BrowneLakeEcologicalReserve,fragstats,2015
3,PPA,1.0301109350237718,1.17,BrowneLakeEcologicalReserve,fragstats,2015
1,PPA,96.45093945720251,41.58,BrowneLakePark,fragstats,2015
2,PPA,2.5052192066805845,1.08,BrowneLakePark,fragstats,2015
3,PPA,1.0438413361169103,0.45,BrowneLakePark,fragstats,2015
1,GPE,25.0,0.09,BuccaneerBayPark,fragstats,2015
1,PPA,0.0,0.0,BuccaneerBayPark,fragstats,2015
2,GPE,75.0,0.27,BuccaneerBayPark,fragstats,2015
2,PPA,100.0,0.27,BuccaneerBayPark,fragstats,2015
1,GPE,64.67391304347827,10.71,BuckHillsRoadEcologicalReserve,fragstats,2015
1,PPA,98.33333333333333,15.93,BuckHillsRoadEcologicalReserve,fragstats,2015
2,GPE,35.32608695652174,5.85,BuckHillsRoadEcologicalReserve,fragstats,2015
2,PPA,1.6666666666666667,0.27,BuckHillsRoadEcologicalReserve,fragstats,2015
1,GPE,31.920199501246884,11.52,BuckinghorseRiverWaysidePark,fragstats,2015
1,PPA,37.34335839598997,13.41,BuckinghorseRiverWaysidePark,fragstats,2015
2,GPE,68.07980049875312,24.57,BuckinghorseRiverWaysidePark,fragstats,2015
2,PPA,62.65664160401003,22.5,BuckinghorseRiverWaysidePark,fragstats,2015
1,PPA,37.462792530498724,5176.53,BugabooPark,fragstats,2015
2,PPA,17.165914375598412,2371.95,BugabooPark,fragstats,2015
3,PPA,45.37129309390286,6269.31,BugabooPark,fragstats,2015
1,PPA,65.76289207868155,111.33,BulkleyJunctionPark,fragstats,2015
2,PPA,20.78681552365763,35.19,BulkleyJunctionPark,fragstats,2015
3,PPA,13.450292397660819,22.77,BulkleyJunctionPark,fragstats,2015
1,PPA,36.007316435850534,124.02,BullCanyonPark,fragstats,2015
2,PPA,62.55552652207996,215.46,BullCanyonPark,fragstats,2015
