class_val,ppa_gpe,proportion_of_landscape,total_area,park,var,year
1,PPA,100.0,59.4,ClanninickCreekEcologicalReserve,nightlights,2015
1,PPA,100.0,231.3,ClaudElliottCreekEcologicalReserve,nightlights,2015
1,PPA,100.0,328.23,ClaudElliottLakePark,nightlights,2015
1,PPA,100.0,399.51,ClayhurstEcologicalReserve,nightlights,2015
1,PPA,100.0,3556.44,ClayoquotArmPark,nightlights,2015
1,PPA,100.0,3130.38,ClayoquotPlateauPark,nightlights,2015
1,PPA,100.0,5048.55,ClaytonFallsConservancy,nightlights,2015
1,PPA,100.0,30360.69,ClendinningPark,nightlights,2015
1,PPA,100.0,413.91,CloseToTheEdgePark,nightlights,2015
1,PPA,100.0,287.82,CloseToTheEdgeProtectedArea,nightlights,2015
1,PPA,100.0,279.27,ClyakEstuaryConservancy,nightlights,2015
1,PPA,100.0,1216.26,CodvilleLagoonConservancy,nightlights,2015
1,PPA,100.0,398.34,CodvilleLagoonMarinePark,nightlights,2015
1,PPA,100.0,49.23,CodyCavesPark,nightlights,2015
1,PPA,100.0,68.76,ColdwaterRiverPark,nightlights,2015
1,PPA,100.0,22.68,CollisonPointPark,nightlights,2015
1,PPA,100.0,42.39,ColumbiaLakeEcologicalReserve,nightlights,2015
1,PPA,100.0,286.74,ColumbiaLakePark,nightlights,2015
1,PPA,100.0,44.1,ComoxLakeBluffsEcologicalReserve,nightlights,2015
1,PPA,100.0,724.59,ConkleLakePark,nightlights,2015
1,PPA,100.0,656.1,CopperJohnnyPark,nightlights,2015
1,PPA,100.0,143.37,CoquihallaCanyonPark,nightlights,2015
1,PPA,100.0,102.42,CoquihallaRiverPark,nightlights,2015
1,GPE,99.62236899514045,5959.44,CoquihallaSummitRecreationArea,nightlights,2015
1,PPA,98.27912283718095,5659.02,CoquihallaSummitRecreationArea,nightlights,2015
2,GPE,0.37763100485955436,22.59,CoquihallaSummitRecreationArea,nightlights,2015
2,PPA,1.72087716281905,99.09,CoquihallaSummitRecreationArea,nightlights,2015
1,PPA,100.0,117.81,CormorantChannelMarinePark,nightlights,2015
1,PPA,100.0,1236.6,CornwallHillsPark,nightlights,2015
1,PPA,100.0,63.81,CottonwoodRiverPark,nightlights,2015
1,PPA,100.0,553.32,CougarCanyonEcologicalReserve,nightlights,2015
1,GPE,100.0,1087.83,CowichanRiverPark,nightlights,2015
1,PPA,99.9295684466641,1404.63,CowichanRiverPark,nightlights,2015
2,GPE,0.0,0.0,CowichanRiverPark,nightlights,2015
2,PPA,0.07043155333589449,0.99,CowichanRiverPark,nightlights,2015
1,PPA,100.0,12799.53,CrabLakeConservancy,nightlights,2015
1,PPA,100.0,7557.66,CraigHeadwatersProtectedArea,nightlights,2015
1,PPA,100.0,69.75,CranstownPointConservancy,nightlights,2015
1,PPA,100.0,59.94,CraterLakePark,nightlights,2015
1,GPE,96.52009711356892,966.06,CrookedRiverPark,nightlights,2015
1,PPA,100.0,970.47,CrookedRiverPark,nightlights,2015
2,GPE,3.479902886431076,34.83,CrookedRiverPark,nightlights,2015
2,PPA,0.0,0.0,CrookedRiverPark,nightlights,2015
1,PPA,100.0,45.36,CrowsnestPark,nightlights,2015
1,PPA,100.0,2723.22,CultusLakePark,nightlights,2015
1,PPA,100.0,21827.07,CumminsLakesPark,nightlights,2015
1,PPA,100.0,259.56,CumminsRiverProtectedArea,nightlights,2015
1,GPE,99.89881025389427,2932.11,CypressPark,nightlights,2015
1,PPA,98.51046445855069,2821.32,CypressPark,nightlights,2015
2,GPE,0.10118974610572795,2.97,CypressPark,nightlights,2015
2,PPA,1.4895355414493119,42.66,CypressPark,nightlights,2015
1,PPA,100.0,1584.0,DahlLakePark,nightlights,2015
1,PPA,100.0,168.75,DalaKildalaRiverEstuaryPark,nightlights,2015
